City,Year,Total PEH,Unsheltered PEH,Population,"PEH Per 100,000","Unsheltered Per 100,000",Latitude,Longitude
Escondido,2020,429,264,151038,284.0344814,174.7904501,33.124722,-117.080833
Imperial Beach,2020,16,16,26137,61.21590083,61.21590083,32.5839,-117.1131
La Mesa,2020,52,52,61070,85.1481906,85.1481906,32.7695,-117.0203
Lemon Grove,2020,18,18,27627,65.15365403,65.15365403,32.733451,-117.033702
National City,2020,125,125,56173,227.8674808,222.5268367,32.669164,-117.089
Oceanside,2020,408,242,174068,234.3911575,139.0261277,33.211666,-117.325836
Poway,2020,15,15,48779,30.7509379,30.7509379,32.969895,-117.038479
San Diego,2020,4870,2283,1386872,352.3757059,164.6150474,32.715736,-117.161087
San Marcos,2020,8,8,94833,8.435882024,8.435882024,33.1385,-117.1688
Santee,2020,25,25,60037,41.64098806,41.64098806,32.838383,-116.973915
Vista,2020,100,51,98381,101.645643,51.83927791,33.193611,-117.241112
Carlsbad,2022,118,75,114160,103.3637001,65.69726699,33.158092,-117.350594
Chula Vista,2022,309,206,279170,110.6852455,73.7901637,32.639954,-117.106705
Coronado,2022,1,1,18702,5.347021709,5.347021709,32.631718,-117.136772
El Cajon,2022,1308,185,104414,1252.705576,177.1793055,32.794773,-116.962524
Encinitas,2022,113,76,61369,184.1320536,123.8410272,33.039139,-117.295425
Escondido,2022,499,182,150270,332.0689426,121.1153257,33.124722,-117.080833
Imperial Beach,2022,25,25,25791,96.93303866,96.93303866,32.5839,-117.1131
La Mesa,2022,53,35,60360,87.80649437,57.98542081,32.7695,-117.0203
Lemon Grove,2022,31,31,27224,113.8701146,113.8701146,32.733451,-117.033702
National City,2022,158,149,55550,284.4284428,268.2268227,32.669164,-117.089
Oceanside,2022,514,318,172199,298.4918612,184.670062,33.211666,-117.325836
Poway,2022,23,23,48078,47.83892841,47.83892841,32.969895,-117.038479
San Diego,2022,4801,2494,1381162,347.6058565,180.5725903,32.715736,-117.161087
San Marcos,2022,12,12,94854,12.65102157,12.65102157,33.1385,-117.1688
Santee,2022,147,48,59051,248.9373592,81.28566832,32.838383,-116.973915
Vista,2022,117,76,97766,119.6735061,77.73663646,33.193611,-117.241112
Carlsbad,2023,103,60,113792,90.51602925,52.72778403,33.158092,-117.350594
Chula Vista,2023,440,318,280734,156.7319954,113.2744876,32.639954,-117.106705
Coronado,2023,1,1,18985,5.267316302,5.267316302,32.631718,-117.136772
El Cajon,2023,1360,203,103558,1313.273721,196.0254157,32.794773,-116.962524
Encinitas,2023,92,73,61085,150.609806,119.5056069,33.039139,-117.295425
Escondido,2023,488,304,149799,325.769865,202.9386044,33.124722,-117.080833
Imperial Beach,2023,19,19,25623,74.15212895,74.15212895,32.5839,-117.1131
La Mesa,2023,36,36,60005,59.99500042,59.99500042,32.7695,-117.0203
Lemon Grove,2023,60,60,27029,221.9837952,221.9837952,32.733451,-117.033702
National City,2023,165,159,55267,298.5506722,287.6942841,32.669164,-117.089
Oceanside,2023,588,290,171063,343.7330106,169.5281855,33.211666,-117.325836
Poway,2023,2,2,47727,4.190500136,4.190500136,32.969895,-117.038479
San Diego,2023,6500,3285,1378307,471.5930486,238.3358715,32.715736,-117.161087
San Marcos,2023,2,2,94832,2.108992745,2.108992745,33.1385,-117.1688
Santee,2023,94,76,58600,160.4095563,129.6928328,32.838383,-116.973915
Vista,2023,119,88,97454,122.1088924,90.29901287,33.193611,-117.241112
Carlsbad,2024,189,112,113424,166.6314008,98.74453378,33.158092,-117.350594
Chula Vista,2024,650,503,282299,230.2523211,178.1798731,32.639954,-117.106705
Coronado,2024,0,0,19268,0,0,32.631718,-117.136772
